Frequency (Hz)	Mean V (V) 	STD (V)
10.0	0.3693	0.0124
11.6	0.4198	0.0077
13.4	0.4786	0.0069
15.5	0.5636	0.0060
17.9	0.6585	0.0083
20.7	0.7673	0.0073
24.0	0.9046	0.0099
27.7	1.0503	0.0069
32.1	1.2150	0.0088
37.1	1.3969	0.0070
42.9	1.5906	0.0064
49.7	1.8078	0.0106
57.5	2.0357	0.0585
66.5	2.2668	0.0111
76.9	2.4999	0.0135
89.0	2.7260	0.0106
103.0	2.9527	0.0120
119.1	3.1436	0.0076
137.8	3.3209	0.0122
159.4	3.4783	0.0095
184.4	3.6081	0.0128
213.4	3.7178	0.0077
246.8	3.8095	0.0116
285.6	3.8721	0.0087
330.4	3.9338	0.0066
382.2	3.9741	0.0064
442.1	4.0076	0.0059
511.5	4.0354	0.0124
591.8	4.0575	0.0101
684.6	4.0793	0.0103
792.0	4.0980	0.0082
916.3	4.1080	0.0100
1060.0	4.1189	0.0087
1226.3	4.1299	0.0093
1418.7	4.1405	0.0089
1641.3	4.1435	0.0052
1898.8	4.1431	0.0054
2196.7	4.1339	0.0072
2541.3	4.1150	0.0077
2940.0	4.0869	0.0055
3401.3	4.0449	0.0047
3934.9	3.9868	0.0044
4552.3	3.9112	0.0057
5266.5	3.8158	0.0089
6092.7	3.6854	0.0061
7048.6	3.5394	0.0047
8154.4	3.3665	0.0029
9433.7	3.1707	0.0034
10913.8	2.9526	0.0039
12626.0	2.7241	0.0024
14606.9	2.4882	0.0024
16898.5	2.2541	0.0025
19549.7	2.0274	0.0016
22616.8	1.8095	0.0016
26165.0	1.6093	0.0018
30270.0	1.4261	0.0028
35019.0	1.2593	0.0025
40513.0	1.1129	0.0024
46869.0	0.9828	0.0020
54222.2	0.8728	0.0031
62729.0	0.7727	0.0031
72570.4	0.6901	0.0034
83955.8	0.6213	0.0056
97127.4	0.5608	0.0031
112365.5	0.5142	0.0069
129994.2	0.4720	0.0090
150388.7	0.4380	0.0060
173982.8	0.4108	0.0058
201278.5	0.3927	0.0039
232856.6	0.3755	0.0042
269388.9	0.3631	0.0052
311652.7	0.3527	0.0067
360547.1	0.3527	0.0088
417112.5	0.3432	0.0080
482552.2	0.3336	0.0060
558258.6	0.3307	0.0081
645842.4	0.3336	0.0096
747167.1	0.3343	0.0096
864388.3	0.3258	0.0088
1000000.0	0.3275	0.0095
